Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future, Grant_Existing , Grant_FY , Grant_Future ,GO_Expended,Capital_Year_0, CapitalYear_1 ,Capital_Year_25,Grant_Expended,Grant_Year_0, Grant_Year_1 ,GrantYear_25,External_Funds,Total_Project_Budget
Parks and Recreation Department,Ryan Playground,"Design for a comprehensive park improvements to ball fields, playground, basketball court, parking area, harbor walk, lighting, and green infrastructure to mitigate future sea level rise caused by climate change.",Parks and Recreation Department,In Design,Charlestown,11800000,6200000,0,0,0,0,121479,400000,6000000,11478521,0,0,0,0,1000000,19000000
Parks and Recreation Department,Safety Surfacing Replacement,Upgrade and replace safety surfacing at various City parks.,Parks and Recreation Department,Annual Program,Citywide,2000000,0,0,0,0,0,317400,88600,500000,1094000,0,0,0,0,0,2000000
Parks and Recreation Department,Sports Lighting Replacement,Annual program for replacing sports lighting. High priority projects include Christopher Lee Playground and Clifford Playground.,Parks and Recreation Department,Annual Program,Citywide,1000000,2600000,0,0,0,0,899917,80000,500000,2120083,0,0,0,0,0,3600000
Parks and Recreation Department,Titus Sparrow Park,Improve the playground; renovate the tennis and basketball courts.,Parks and Recreation Department,In Design,South End,220000,1760000,0,0,0,0,49203,80797,1300000,550000,0,0,0,0,0,1980000
Parks and Recreation Department,Walnut Park Play Area,Upgrade play lot.,Parks and Recreation Department,In Construction,Roxbury,1340000,0,0,0,0,0,96844,250000,750000,243156,0,0,0,0,0,1340000
Parks and Recreation Department,Winthrop Playground,"Design of comprehensive park renovation including play equipment, splash pad, stairs, lighting, basketball and tennis court.",Parks and Recreation Department,In Construction,Roxbury,3000000,0,0,400000,0,0,22392,400000,2000000,577608,0,100000,300000,0,0,3400000
Police Department,Communications Infrastructure Upgrades,Design and implementation of upgrades to the Police radio system.,Boston Police Department,Implementation Underway,Citywide,53794000,0,0,0,0,0,45692129,2500000,5601871,0,0,0,0,0,0,53794000
Police Department,District B-3 Station Study,Programming study to evaluate space requirements for the District B-3 station.,Public Facilities Department,To Be Scheduled,Mattapan,100000,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,100000
Police Department,District E-18 Station Study,Programming study to evaluate space requirements for the District E-18 station.,Public Facilities Department,To Be Scheduled,Hyde Park,100000,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,100000
Police Department,Evidence/Archives/Central Supply Study,"Program and siting study for new facility to house evidence management, archives, and central supply functions.",Public Facilities Department,To Be Scheduled,Citywide,75000,0,0,0,0,0,0,0,0,75000,0,0,0,0,0,75000
Police Department,Forensics Unit Facility Upgrades,Renovate interior space at BPD headquarters to redesign and expand the Forensic Unit.,Public Facilities Department,To Be Scheduled,Roxbury,60000,0,0,0,0,0,0,25000,35000,0,0,0,0,0,0,60000
Police Department,Headquarters Roof and Elevator Replacement,Replace roof and elevators.,Public Facilities Department,In Construction,Roxbury,7200000,0,0,0,0,0,309452,750000,6140548,0,0,0,0,0,0,7200000
Police Department,Police Academy Study,Programming and siting study to evaluate space requirements for the Police Academy.,Public Facilities Department,Study Underway,Citywide,134000,0,0,0,0,0,0,50000,84000,0,0,0,0,0,0,134000
Police Department,Police Facility Signage,Design and installation of upgraded signage at BPD facilities.,Public Facilities Department,In Design,Citywide,1000000,0,0,0,0,0,48000,100000,500000,352000,0,0,0,0,0,1000000
Police Department,Records Management Replacement,Replace existing records management system.,Boston Police Department,Implementation Underway,Citywide,2850000,0,0,0,0,0,1520254,250000,1079746,0,0,0,0,0,0,2850000
Police Department,Special Operations Unit Facility Upgrades,Study to evaluate relocation of the EOD Unit.,Public Facilities Department,To Be Scheduled,Citywide,100000,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,100000
Police Department,Station Facility Repairs,Capital maintenance at various BPD facilities including exterior repairs.,Boston Police Department,To Be Scheduled,Multiple Neighborhoods,1500000,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,1500000
Police Department,Technology Upgrades at District Stations,Software upgrades to enhance digital security at BPD locations.,Boston Police Department,Implementation Underway,Multiple Neighborhoods,1432000,0,0,0,0,0,0,0,0,1432000,0,0,0,0,0,1432000
Property Management Department,201 Rivermoor,Install new backup generator and high density shelving for City archives. Upgrade HVAC to optimize building conditions for long term storage. Relocate the Archeology Department.,Public Facilities Department,In Design,West Roxbury,2160000,0,0,0,0,0,0,250000,500000,1410000,0,0,0,0,0,2160000
Property Management Department,26 Court Street,"Renovate building to improve envelope (roof, new windows, masonry repair) and upgrade interior.",Public Facilities Department,In Construction,Downtown/Government Center,165000000,0,0,0,0,0,7406316,6379489,80000000,71214195,0,0,0,0,0,165000000
Property Management Department,Family Justice Center Building Envelope Repairs,Window replacements and building envelope improvements.,Public Facilities Department,In Construction,Allston/Brighton,2350000,0,0,0,0,0,97384,400000,1600000,252616,0,0,0,0,0,2350000
Property Management Department,Municipal Facility Repairs,"Building renovations at various municipal buildings including City Hall, 26 Court Street, and 1010 Massachusetts Avenue.",Public Facilities Department,Implementation Underway,Multiple Neighborhoods,15034600,16745400,0,0,0,0,3599273,4000000,3000000,21180727,0,0,0,0,0,31780000
Public Health Commission,EMS Radio System Upgrades,Design and implement upgrades to the EMS radio system.,Boston Public Health Commission,Implementation Underway,Citywide,23215000,0,0,0,0,0,5915057,1300000,8000000,7999943,0,0,0,0,0,23215000
Public Health Commission,EMS Seaport Station,Design and construction of a new EMS station.,Public Facilities Department,In Design,South Boston,11000000,2000000,0,0,0,0,130611,900000,6000000,5969389,0,0,0,0,0,13000000
Public Health Commission,EMS Training Academy,Renovate space at 201 Rivermoor Street to accommodate Emergency Medical Services (EMS) training requirements.,Public Facilities Department,In Construction,West Roxbury,16275000,1935000,0,0,0,0,887544,5000000,8000000,4322456,0,0,0,0,0,18210000
Public Health Commission,Long Island Facility Preservation,Repair and upkeep of buildings on Long Island that may be utilized in the development of the recovery campus.,Public Facilities Department,In Design,Harbor Islands,20000000,18220000,0,0,0,0,0,500000,15000000,22720000,0,0,0,0,0,38220000
Public Health Commission,Long Island Recovery Campus,Renovate existing buildings on Long Island to support the creation of a recovery campus.,Public Facilities Department,To Be Scheduled,Harbor Islands,2000000,0,0,0,0,0,92543,100000,1000000,807457,0,0,0,0,0,2000000
Public Health Commission,Woods Mullen Shelter,"Replace elevator and relocate entryway to improve accessibility, security, and efficiency. Renovate bathrooms, showers, and increase bed space.",Public Facilities Department,In Construction,South End,6217000,0,0,550000,0,0,2318135,1200000,2500000,198865,246358,125000,175000,3642,0,6767000
Public Works Department,ADA/AAB Pedestrian Ramps,Install or reconstruct pedestrian ramps to conform to current Americans With Disabilities Act (ADA) and Architectural Access Board (AAB) regulations.,Public Works Department,Annual Program,Citywide,24800000,0,5300000,27000000,0,0,0,4500000,5000000,20600000,12364341,2100000,10000000,2535659,0,57100000
Public Works Department,Amory Street Extension,"Reconstruct road, sidewalks, and lighting from Amory Street to the end.",Public Works Department,In Design,Roxbury,1200000,0,0,0,0,0,0,0,200000,1000000,0,0,0,0,0,1200000
Public Works Department,Boylston Street Sidewalks,Design and construct sidewalk and/or streetscape improvements on Boylston Street.,Public Works Department,Annual Program,Back Bay,0,0,0,3761000,0,0,0,0,0,0,1062450,1250000,1350000,98550,0,3761000
Public Works Department,Bridge Repairs,Ongoing repairs at various City-owned bridges as needed to bring the portfolio of 40 bridges to a state of good repair. This includes proactive maintenance and annual maintenance.,Public Works Department,Annual Program,Multiple Neighborhoods,53000000,0,0,0,0,0,13906419,7000000,7000000,25093581,0,0,0,0,0,53000000
Public Works Department,Cambridge Street Bridge,"Rehabilitate bridge, performing repairs as needed.",Public Works Department,To Be Scheduled,Charlestown,4250000,0,0,750000,0,2000000,0,0,0,4250000,0,0,500000,2250000,0,7000000
Public Works Department,Commonwealth Avenue Phase 3 and 4,"Design and reconstruct Commonwealth Avenue from Packard’s Corner to Kelton Street, with the addition of a cycle track. State construction funding anticipated.",Public Works Department,In Design,Allston/Brighton,2500000,0,0,0,0,0,1040593,0,150000,1309407,0,0,0,0,0,2500000
Public Works Department,Commonwealth Avenue Phase 3B,Construction of pedestrian and bicyclist safety measures on Commonwealth Avenue at and near the intersection of Harvard Avenue.,Public Works Department,In Design,Allston/Brighton,0,0,10000000,1000000,0,0,0,0,0,10000000,0,0,0,1000000,0,11000000
Public Works Department,Congress Street and Sleeper Street,"Reconstruct Congress Street from Fort Point Channel to West Service Road and Sleeper Street to Complete Streets standards where applicable, in order to provide safe multimodal streets, including; new sidewalks, street lights, trees and street furniture.",Public Works Department,In Design,South Boston,7350000,0,0,250000,0,0,0,0,500000,6850000,0,0,0,250000,0,7600000
Public Works Department,Cummins Highway,"Reconstruct road, make traffic improvements, install new pedestrian ramps, enhance bike access, install new tree plantings, and improve lighting from River Street in Mattapan Square to Harvard Street.",Public Works Department,In Design,Mattapan,0,0,0,0,26500000,0,0,0,0,0,0,0,4000000,22500000,0,26500000
Public Works Department,Dalton Street Bridge,Design and construction to support the rehabilitation of the bridge.,Public Works Department,In Construction,Back Bay,21000000,0,0,5725000,0,0,127060,6000000,7000000,7872940,4831692,893308,0,0,0,26725000
Public Works Department,District Yard Improvements,Facility assessment and improvements to the City's district yards utilized by the Public Works Department.,Public Works Department,To Be Scheduled,Multiple Neighborhoods,650000,550000,0,0,0,0,0,0,75000,1125000,0,0,0,0,0,1200000
Public Works Department,Downtown Crossing,"Design improvements to the Washington Street/Summer Street/Winter Street intersections, including reconstruction of the roadway, implementation of a pedestrian zone or shared street, and security improvements.",Public Works Department,In Design,Downtown/Government Center,1700000,0,0,0,0,0,368051,50000,225000,1056949,0,0,0,0,0,1700000
Public Works Department,East Eagle Street Shoreline,Shoreline stabilization along Chelsea Creek near East Eagle Street.,Public Works Department,In Design,East Boston,538000,0,0,0,0,0,0,0,200000,338000,0,0,0,0,646000,1184000
Public Works Department,Emerald Necklace,"Develop a master plan to create an active, green transportation corridor along Columbia Road that connects Franklin Park and the waterfront, via the historic Emerald Necklace.",Public Works Department,To Be Scheduled,Multiple Neighborhoods,0,0,0,11000000,0,0,0,0,0,0,0,0,200000,10800000,0,11000000
Public Works Department,Footpath and Stairways,Conduct assessment of footpaths and stairways throughout the City followed by reconstruction.,Public Works Department,Annual Program,Citywide,3530000,0,0,0,0,0,147915,200000,400000,2782085,0,0,0,0,0,3530000
Public Works Department,Friend Street,Reconstruct street and sidewalk on Friend Street from New Chardon Street to Causeway Street.,Public Works Department,In Construction,Downtown/Government Center,1750000,0,0,0,0,0,1041566,300000,408434,0,0,0,0,0,0,1750000
Public Works Department,Harrison Avenue Improvements,Road reconstruction improvements to Harrison Avenue between East Berkeley Street and Herald Street.,Public Works Department,In Design,South End,0,0,0,2222050,0,0,0,0,0,0,100000,0,0,2122050,0,2222050
Public Works Department,Long Island Bridge Replacement,Design and construct a new bridge from Moon Island to Long Island. Demolish and remove the former bridge.,Public Works Department,In Design,Harbor Islands,78000000,0,0,30758144,0,0,23933215,100000,100000,53866785,2751330,50000,100000,27856814,0,108758144
Public Works Department,McArdle Bridge,Design phase of bridge structure rehabilitation.,Public Works Department,In Design,East Boston,10000000,5000000,0,0,0,0,0,0,2000000,13000000,0,0,0,0,0,15000000
Public Works Department,New Market One Ways,"Redesign Massachusetts Avenue between Melnea Cass Boulevard and Theodore Glynn Way for safety improvements that improve walking, biking, and public transit access.",Public Works Department,To Be Scheduled,Roxbury,850000,0,0,0,0,0,5327,0,0,844673,0,0,0,0,0,850000
Public Works Department,North Washington Street Bridge,Design and construction of a new bridge that will replace the existing structure. State and federal construction funds awarded.,Public Works Department,In Construction,Charlestown,9184468,0,0,35270000,0,0,5673066,50000,100000,3361402,12811176,500000,4500000,17458824,178067519,222521987
Public Works Department,Northern Avenue Bridge,Re-build the bridge and preserve certain elements of the historic structure while creating a transformative multi-modal bridge that prioritizes pedestrians and shared public space.,Public Works Department,In Design,South Boston,10000000,0,0,12945000,8155000,0,0,0,0,10000000,8918839,100000,4000000,8081161,0,31100000
Public Works Department,Retaining Walls,Construction funds to support a multi-year capital improvement program to repair and maintain retaining walls in the public right-of-way.,Public Works Department,Annual Program,Citywide,1200000,1000000,0,0,0,0,565504,25000,200000,1409496,0,0,0,0,0,2200000
Public Works Department,Ruggles Street,"Design and build a context sensitive Ruggles Street, between Washington Street and Ruggles MBTA Station, adhering to Complete Street guidelines.",Public Works Department,In Construction,Roxbury,0,0,0,5000000,0,1500000,0,0,0,0,2370595,3767420,200000,161985,0,6500000
Public Works Department,Sidewalk Reconstruction,Response to 311 requests for sidewalk and ramp repairs and reconstruction.,Public Works Department,Annual Program,Citywide,2000000,1000000,0,0,0,0,0,2000000,1000000,0,0,0,0,0,0,3000000
Public Works Department,State Street,"Reconstruct road, sidewalks, and lighting from Congress Street to Rose Kennedy Greenway.",Public Works Department,In Design,Downtown/Government Center,1500000,0,3500000,0,0,0,0,0,0,5000000,0,0,0,0,0,5000000
Public Works Department,Storm Water Pollution Study,Engineering study to identify methods to eliminate storm water pollution.,Public Works Department,To Be Scheduled,South End,150000,0,0,0,0,0,0,0,75000,75000,0,0,0,0,0,150000
Public Works Department,Street Light Gas Lamps,"Using utility subsidies, this program is designed to retrofit solar powered timers to activate gas lamp street lights.",Public Works Department,Annual Program,Multiple Neighborhoods,950000,212500,900000,187500,0,0,128750,450000,450000,1033750,44250,25000,0,118250,0,2250000
Public Works Department,Street Light LED Conversion,A City-wide project to convert mercury and sodium vapor streetlights to light emitting diode (LED) lights.,Public Works Department,Annual Program,Citywide,1540000,3000000,0,0,0,0,42400,635000,600000,3262600,0,0,0,0,0,4540000
Public Works Department,Street Lighting Assessment,Implement a system wide structural assessment on all City street lighting infrastructure.,Public Works Department,To Be Scheduled,Citywide,750000,0,0,0,0,0,0,25000,200000,525000,0,0,0,0,0,750000
Public Works Department,Sullivan Square / Rutherford Avenue,Engineering and design services to provide for corridor-wide transportation improvements. State and federal funding anticipated.,Boston Transportation Department,In Design,Charlestown,3706000,500000,0,4409403,0,0,3675426,280574,250000,0,3700142,25000,250000,434261,162000000,170615403
Public Works Department,Summer Street Phase 2,"Continuation of Crossroads Initiative at Summer Street to improve roadway, sidewalks, street lighting, and bicyclist safety. Phase 1 scope included area from Fort Point Channel to Boston Wharf Road. Phase 2 will extend from BCEC towards South Boston.",Public Works Department,In Design,South Boston,0,0,0,600000,0,0,0,0,0,0,0,0,0,600000,0,600000
Public Works Department,Washington Street / Traveler Street,"Roadway improvements to Washington Street from East Berkeley Street to Herald Street, and Traveler Street between Washington Street and Harrison Avenue. Improvements include resurfacing, pavement markings, and new traffic signals.",Public Works Department,In Construction,South End,0,0,0,1750000,0,0,0,0,0,0,471753,50000,230000,998247,0,1750000
Public Works Department,Whittier Street Housing Development Roadways,Reconstruct roads and sidewalks in the Whittier Street housing development in conjunction with a $30M HUD grant to revitalize the development and surrounding neighborhood.,Public Works Department,In Design,Roxbury,0,0,0,1000000,0,0,0,0,0,0,0,0,1000000,0,0,1000000
Transportation Department,Arboretum Gateway Path,"Construct the Arboretum Gateway Path, which will create new entrances to the Arnold Arboretum and extend the Blackwell path south to Roslindale Square. The first phase includes a new entrance at the end of Arboretum Road.",Boston Transportation Department,In Construction,Roslindale,400000,0,0,200000,0,0,0,0,400000,0,0,0,200000,0,500000,1100000
Transportation Department,Bike Share Network Expansion,"Expand city's bike share network to connect neighborhoods that are further from frequent, reliable rail transit and support strong demand in employment centers and commercial hubs.",Boston Transportation Department,Annual Program,Citywide,750000,0,0,4750000,0,0,0,750000,0,0,2357937,0,1350000,1042063,0,5500000
Transportation Department,Blossom Street,"Upgrades to Blossom Street including upgraded lighting, geometric changes for pedestrian safety, roadway resurfacing, and pavement markings including bicyclist accommodations.",Public Works Department,To Be Scheduled,West End,0,0,0,2000000,0,0,0,0,0,0,0,0,0,2000000,0,2000000
Transportation Department,Bowdoin Street / Geneva Avenue,Design transportation improvements in the Bowdoin Street and Geneva Avenue area in Dorchester.,Boston Transportation Department,In Design,Dorchester,300000,0,0,0,0,0,0,0,100000,200000,0,0,0,0,0,300000
Transportation Department,Boylston Street,"Redesign and reconstruct Boylston Street from Ipswich Street south to Park Drive and the Muddy River Crossing. Build protected bike lanes, a mid-block crossing, upgraded signals, replacement lighting and new sidewalks in certain locations.",Boston Transportation Department,In Construction,Back Bay,0,0,0,1376299,0,0,0,0,0,0,793701,0,250000,332598,8500000,9876299
Transportation Department,Centre Street / South Street,Redesign portions of Centre Street and South Street in Jamaica Plain using a Complete Streets approach.,Boston Transportation Department,To Be Scheduled,Jamaica Plain,1000000,0,0,0,0,0,341690,0,658310,0,0,0,0,0,0,1000000
Transportation Department,Centre Street Safety Improvements,Design and implement pedestrian and bicycle safety improvements on Centre Street in West Roxbury.,Boston Transportation Department,In Design,West Roxbury,400000,0,0,0,0,0,0,100000,100000,200000,0,0,0,0,0,400000
Transportation Department,Dedicated Bus Lanes,"Transform several corridors citywide for rapid bus transit, including the construction of dedicated bus lanes on Summer Street, Boylston Street and St. James Street, and Clarendon Street.",Boston Transportation Department,Annual Program,Citywide,11300000,0,0,1643700,0,0,294808,300000,5000000,5705192,1064091,250000,250000,79609,0,12943700
Transportation Department,Nubian Square Improvements,"Roadway improvements from Shawmut Avenue to Harrison Avenue including six key Nubian Square intersections. The scope of work includes geometric changes, new traffic signal equipment and timing, bike lanes, and streetscape improvements.",Boston Transportation Department,In Construction,Roxbury,922183,0,0,14977817,0,2000000,792104,130079,0,0,5473389,200000,2000000,9304428,0,17900000
Transportation Department,Eagle Square,Design for traffic flow and safety improvements in Eagle Square.,Boston Transportation Department,In Design,East Boston,150000,0,0,2000000,0,0,0,0,100000,50000,0,0,0,2000000,0,2150000
Transportation Department,Egleston Square,"Redesign of Egleston Square featuring widened sidewalks, median realignment, new crosswalks, raised crosswalks and neckdowns, traffic signal improvements, and rehabilitation of the sculpture garden.",Boston Transportation Department,In Design,Roxbury,6910000,0,0,1000000,0,0,0,0,0,6910000,545043,100000,250000,104957,0,7910000
Transportation Department,Electric Charging Stations,Installation of electric vehicle charging stations at various municipal lots.,Boston Transportation Department,Implementation Underway,Citywide,0,0,0,650000,700000,0,0,0,0,0,103890,100000,1000000,146110,0,1350000
Transportation Department,Green Links,Annual program to create a connected network of pedestrian and bicycle paths that will allow more access to green open spaces.,Boston Transportation Department,Annual Program,Citywide,700000,0,500000,150116,0,0,254253,50000,204000,691747,118210,31906,0,0,0,1350116
Transportation Department,JFK / UMASS Station,Study improvements and create a transportation action plan for the MBTA's JFK/UMass Station area.,Boston Transportation Department,In Design,Dorchester,0,0,0,250000,0,0,0,0,0,0,0,50000,150000,50000,0,250000
Transportation Department,Strategic Bike Network: Mass. Ave. South of Melnea Cass Blvd.,"Reconfigure an existing pedestrian island at Massachusetts Avenue between Melnea Cass and Theodore Glynn, and create a bike lane from Columbia Road in Dorchester to Melnea Cass in Roxbury/South End.",Public Works Department,In Construction,Dorchester,2400000,0,0,0,0,0,204748,500000,1000000,695252,0,0,0,0,0,2400000
Transportation Department,Municipal Parking Lots,"Lighting, paving, re-striping, and other upgrades to municipal parking lots Citywide.",Boston Transportation Department,Annual Program,Citywide,1000000,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000
Transportation Department,Operations Center at 12 Channel Street,"Renovations to address interior office improvements, heating, ventilation, and sound.",Public Facilities Department,In Construction,South Boston,2500000,0,0,0,0,0,1743046,150000,606954,0,0,0,0,0,0,2500000
Transportation Department,Rapid Bus Transportation Seaport,Develop an action plan and implementation program for rapid bus transit between North Station and the Seaport.,Boston Transportation Department,In Design,Multiple Neighborhoods,0,0,0,260000,0,0,0,0,0,0,106028,153972,0,0,0,260000
Transportation Department,Roslindale Gateway,Design relative to the Arboretum Road Green Link project.,Parks and Recreation Department,To Be Scheduled,Roslindale,0,0,0,50000,0,0,0,0,0,0,33835,5325,10000,840,0,50000
Transportation Department,Safe and Reliable Streets,"Support anti-congestion efforts Citywide through data collection, safety and public realm improvements. Includes staff support to augment operational needs. Funded by state TNC revenue.",Boston Transportation Department,Annual Program,Citywide,0,0,0,6023207,988900,0,0,0,0,0,2801745,550000,1000000,2660362,0,7012107
Transportation Department,Southwest Corridor Bike Path Extension,"Advance planning and design for a Go Boston 2030 priority project that would extend the Southwest Corridor, via on-street bike facilities, to connect with major destinations in Downtown and Beacon Hill.",Boston Transportation Department,In Construction,Multiple Neighborhoods,0,0,0,250000,0,0,0,0,0,0,250000,0,0,0,0,250000
Transportation Department,Strategic Bike Network Project,Maximize usage in existing high volume bike lanes via construction of bike lane extensions and connections with Citywide key bike corridors. Implement new bike corridor accelerator to complete large parts of downtown and outlying networks.,Boston Transportation Department,Annual Program,Citywide,14300000,0,0,1000000,2000000,0,3344314,2000000,4500000,4455686,1000000,0,1000000,1000000,0,17300000
Transportation Department,Traffic Signal Construction at 5 locations,Design and construct safety improvements to various traffic signals throughout the City.,Boston Transportation Department,In Design,Multiple Neighborhoods,3400000,0,0,0,0,0,0,900000,1250000,1250000,0,0,0,0,0,3400000
Transportation Department,Transportation Action Plan Implementation,Create conceptual designs for key projects identified from planning studies and action plans.,Boston Transportation Department,Annual Program,Citywide,300000,0,0,0,0,0,0,0,100000,200000,0,0,0,0,0,300000
Transportation Department,Tremont Street,"Redesign and reconstruction of Tremont Street, from Herald Street to Massachusetts Avenue, to include permanent safety improvements to crossings, accessibility upgrades, dedicated bicyclist space, and potential drop-off zones for ridesharing.",Public Works Department,In Construction,South End,1000000,0,0,9539452,0,0,0,0,0,1000000,1702274,3000000,4500000,337178,0,10539452
Transportation Department,Vision Zero,"Implement roadway design changes to reduce speeds, control movements, and improve the visibility of vulnerable users.",Boston Transportation Department,Annual Program,Citywide,17922192,0,2077808,8000000,2600000,0,12211454,1000000,2000000,4788546,803628,2000000,4000000,3796372,0,30600000
Transportation Department,Vision Zero: Neighborhood Slow Streets,Design and construct Neighborhood Slow Street zones throughout the City.,Boston Transportation Department,Annual Program,Multiple Neighborhoods,0,0,0,10900000,3500000,0,0,0,0,0,2943592,1250000,5000000,5206408,0,14400000
Boston Centers for Youth and Families,BCYF Hyde Park Community Center,"Interior and exterior building renovation including improvements to athletic facilities, redesign of the front entrance, window and door replacements, and other facility upgrades to enable using the facility as a sheltering site year-round.",Public Facilities Department,To Be Scheduled,Hyde Park,1000000,0,0,0,0,0,0,0,100000,900000,0,0,0,0,0,1000000
Boston Centers for Youth and Families,BCYF Roslindale Community Center,"Interior and exterior building renovation including improvements to athletic facilities, redesign the front entrance, window and door replacements, and other facility upgrades to enable using the facility as a sheltering site year-round.",Public Facilities Department,To Be Scheduled,Roslindale,1000000,0,0,0,0,0,0,75000,100000,825000,0,0,0,0,0,1000000
Boston Centers for Youth and Families,Youth Budget Round 9,"Engage youth across the City to create a capital ""Youth Budget"", using participatory budgeting methods.",Youth Engagement and Employment,Implementation Underway,Citywide,1000000,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000
Boston Public Library,Central Library Façade Study and Repairs,Perform a study of the condition of the facades of the Johnson and McKim buildings and make repairs as needed.,Boston Public Library,To Be Scheduled,Back Bay,400000,0,0,0,0,0,0,100000,200000,100000,0,0,0,0,0,400000
Boston Public Library,South Boston Branch Library Study,Conduct a facility assessment and develop a building program that reflects the BPL's Compass Principles and supports the needs of the neighborhood. Design and construct a new branch library.,Public Facilities Department,To Be Scheduled,South Boston,250000,0,0,0,0,0,0,0,0,250000,0,0,0,0,0,250000
Boston Public Schools,Window Repair and Replacement,Replace or make significant repairs to windows at various schools to increase ventilation.,Boston Public Schools,To Be Scheduled,Citywide,5111005,0,2111005,0,0,0,0,0,250000,6972010,0,0,0,0,0,7222010
Boston Public Schools,East Boston School Study,Study to design a future school facilities in East Boston.,Public Facilities Department,To Be Scheduled,East Boston,500000,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,500000
Boston Public Schools,BPS Building Reprogramming,Upgrade building facilities to facilitate grade reconfigurations at various schools.,Boston Public Schools,Annual Program,Citywide,11780000,230000,0,0,0,0,1185951,2250000,1500000,7074049,0,0,0,0,0,12010000
Boston Public Schools,Exterior Grounds Improvements,"Improve landscaping, walkways, paving, and outdoor lighting and signage at various schools.",Boston Public Schools,Annual Program,Citywide,12250000,0,0,0,0,0,0,1500000,1500000,9250000,0,0,0,0,0,12250000
Boston Public Schools,Auditorium Improvements,"Repair and upgrade auditorium facilities at various schools, including lighting, seating, and sound equipment.",Boston Public Schools,Annual Program,Citywide,2000000,0,0,0,0,0,0,0,1000000,1000000,0,0,0,0,0,2000000
Boston Public Schools,21st Century Interior Improvements,"Improve interior spaces at various schools to promote a 21st century learning experience, including lighting, security, classroom technology, and wayfinding.",Boston Public Schools,To Be Scheduled,Citywide,1000000,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000
Boston Public Schools,Accessibility Improvements,"Upgrade facilities at various schools to increase building accessibility, including improvements to ramps, doors, and elevators.",Boston Public Schools,Annual Program,Citywide,1000000,0,0,0,0,0,0,0,500000,500000,0,0,0,0,0,1000000
Boston Public Schools,Bradley School Envelope,"Repair masonry, windows, and doors.",Public Facilities Department,In Design,East Boston,1663839,0,0,0,0,0,0,40000,400000,1223839,0,0,0,0,0,1663839
Boston Public Schools,Mather School Envelope,"Repair roof, masonry, windows, and doors.",Public Facilities Department,In Design,Dorchester,3050000,0,0,0,0,0,9867,225000,1500000,1315133,0,0,0,0,0,3050000
Boston Public Schools,Henderson Upper School Yard,Design and construct a new school yard at the Henderson Upper School.,Public Facilities Department,In Design,Dorchester,1000000,0,0,0,0,0,26525,50000,823475,100000,0,0,0,0,0,1000000
Boston Public Schools,Elementary and Grades 7-12 Programming/Siting Study,Study to develop space programs and to evaluate potential sites for future elementary and grades 7-12 schools.,Public Facilities Department,Study Underway,Citywide,3000000,0,0,0,0,0,0,600000,2400000,0,0,0,0,0,0,3000000
Boston Public Schools,Irving School Renovations,Upgrade building facilities at the Irving School to facilitate grade reconfiguration.,Public Facilities Department,In Design,Roslindale,5200000,85570000,0,0,0,0,0,500000,25000000,65270000,0,0,0,0,0,90770000
Department of Innovation and Technology,FY22 IT Investment Proposals,Identify and procure IT solutions for City departments.,Department of Innovation and Technology,Implementation Underway,Citywide,500000,0,0,0,0,0,0,3000,250000,247000,0,0,0,0,0,500000
Department of Innovation and Technology,Citywide Revenue Modernization,Planning and design of a centralized collections system to maximize City revenue.,Department of Innovation and Technology,Implementation Underway,Citywide,650000,0,0,0,0,0,0,0,650000,0,0,0,0,0,0,650000
Department of Innovation and Technology,Trunked Radio System,Design and implementation of upgrades to the trunked radio system.,Department of Innovation and Technology,Implementation Underway,Citywide,6156000,0,0,0,0,0,869024,2500000,2786976,0,0,0,0,0,0,6156000
Environment Department,Mattahunt Woods Preservation,"Clean up debris, manage invasive species, and build trails to restore wetland habitat and create usable open space.",Parks and Recreation Department,To Be Scheduled,Mattapan,750000,0,0,0,0,0,-18400,375000,393400,0,0,0,0,0,0,750000
Mayor's Office of Housing,BHA Orient Heights,"City funding for Phase 3 consisting of 123 units of housing, gateway park, and community center.",Boston Housing Authority,Implementation Underway,East Boston,19000000,0,0,0,0,0,16576112,0,0,2423888,0,0,0,0,0,19000000
Office of Arts & Culture,Book Mark'd,Fabricate and install a bronze sculpture of books for the entrance of the Mattapan Branch Library.,Office of Arts and Culture,Implementation Underway,Mattapan,250000,0,0,0,0,0,0,100000,150000,0,0,0,0,0,0,250000
Office of Arts & Culture,Edward O. Gourdin and African American Veterans Memorial,Complete fabrication and install a bronze memorial portrait of Justice Gourdin and ten bas-relief portraits of African American veterans of wars from the American Revolution to the Iraq War.,Office of Arts and Culture,Implementation Underway,Roxbury,150000,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,150000
