cabinet,dept,program,expense_category,fy21_actual_expense,fy22_actual_expense,fy23_appropriation,fy24_adopted,fy24_change_from_fy23
Mayor's Cabinet,Mayor's Office,Mayor's Communications,Contractual Services,294.75,123.21,0.0,70500.0,70500.0
Mayor's Cabinet,Mayor's Office,Mayor's Communications,Supplies & Materials,,,,3000.0,
Mayor's Cabinet,Mayor's Office,Mayor's Communications,Current Charges & Obligations,,980.0,7038.0,1000.0,-6038.0
Mayor's Cabinet,Mayor's Office,Mayor's Communications,Equipment,,,,22500.0,
Mayor's Cabinet,Election Department,Election Division,Personnel Services,3039194.23,3297454.25,3594396.974,4020353.741,425956.767
Mayor's Cabinet,Election Department,Listing Board,Personnel Services,260842.69,289834.32,408508.9724,459903.9639,51394.991499999946
Mayor's Cabinet,Election Department,Election Division,Contractual Services,456905.6,841673.6,692160.01,1136484.81,444324.80000000005
Mayor's Cabinet,Election Department,Listing Board,Contractual Services,11584.64,36514.14,51897.0,60404.0,8507.0
Mayor's Cabinet,Election Department,Election Division,Supplies & Materials,345480.24,815739.75,1264355.52,1385303.0,120947.47999999998
Mayor's Cabinet,Election Department,Listing Board,Supplies & Materials,223618.34,245386.94,270000.0,285700.0,15700.0
Mayor's Cabinet,Election Department,Election Division,Current Charges & Obligations,104706.94,70739.98,158700.0,203924.0,45224.0
Mayor's Cabinet,Election Department,Election Division,Equipment,343177.14,353922.49,416675.86,225999.24,-190676.62
Mayor's Cabinet,Intergovernmental Relations,IGR,Personnel Services,807260.78,677057.29,1045363.466,919295.9622,-126067.50380000006
Mayor's Cabinet,Intergovernmental Relations,Grants Administration,Personnel Services,109715.94,113796.23,113456.6416,114856.5514,1399.909799999994
Mayor's Cabinet,Intergovernmental Relations,IGR,Contractual Services,171102.42,181763.77,192299.0,41161.0,-151138.0
Mayor's Cabinet,Intergovernmental Relations,Grants Administration,Contractual Services,-25.0,198.21,,300.0,
Mayor's Cabinet,Intergovernmental Relations,IGR,Supplies & Materials,2328.75,4063.22,6200.0,6200.0,0.0
Mayor's Cabinet,Intergovernmental Relations,IGR,Current Charges & Obligations,191807.1,192661.08,192717.0,158209.0,-34508.0
Mayor's Cabinet,Intergovernmental Relations,Grants Administration,Current Charges & Obligations,330.0,300.0,330.0,330.0,0.0
Mayor's Cabinet,Law Department,Law Operations,Personnel Services,939652.89,1720068.17,1258313.208,1724794.202,466480.99399999995
Mayor's Cabinet,Law Department,Litigation,Personnel Services,1165591.62,728780.69,1504899.284,1493350.636,-11548.648000000045
Mayor's Cabinet,Law Department,Government Services,Personnel Services,3107260.92,2974614.11,4684669.184,4975153.76,290484.5759999994
Mayor's Cabinet,Law Department,Law Operations,Contractual Services,246143.51,318348.31,369425.0,284989.2,-84435.79999999999
Mayor's Cabinet,Law Department,Litigation,Contractual Services,1900050.81,2348433.15,1665800.0,1832339.0,166539.0
Mayor's Cabinet,Law Department,Government Services,Contractual Services,20821.58,36453.06,150700.0,87754.2,-62945.8
Mayor's Cabinet,Law Department,Law Operations,Supplies & Materials,10528.29,11120.92,16375.0,18650.0,2275.0
Mayor's Cabinet,Law Department,Litigation,Supplies & Materials,52.19,1210.44,2000.0,,
Mayor's Cabinet,Law Department,Government Services,Supplies & Materials,727.6,902.55,2000.0,,
Mayor's Cabinet,Law Department,Law Operations,Current Charges & Obligations,61166.92,49673.26,33000.0,105159.0,72159.0
Mayor's Cabinet,Law Department,Litigation,Current Charges & Obligations,28207.33,7387.21,37000.0,23270.0,-13730.0
Mayor's Cabinet,Law Department,Government Services,Current Charges & Obligations,22749.93,23801.57,60500.0,26100.0,-34400.0
Mayor's Cabinet,Law Department,Law Operations,Equipment,,660.0,4228.0,0.0,-4228.0
Mayor's Cabinet,Law Department,Litigation,Equipment,,2535.0,,,
Mayor's Cabinet,Law Department,Government Services,Equipment,,3171.0,,0.0,
Equity & Inclusion Cabinet,Office of Equity,Equity,Personnel Services,,379820.05,1236553.967,1581279.742,344725.77500000014
Equity & Inclusion Cabinet,Office of Equity,Equity,Contractual Services,,15435.08,106620.0,938010.0,831390.0
Equity & Inclusion Cabinet,Office of Equity,Equity,Supplies & Materials,,1462.83,10500.0,32100.0,21600.0
Equity & Inclusion Cabinet,Office of Equity,Equity,Current Charges & Obligations,,2179.88,11000.0,4533.0,-6467.0
Equity & Inclusion Cabinet,Office of Equity,Equity,Equipment,,16636.2,6000.0,1249.0,-4751.0
Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Personnel Services,,1661595.3,0.0,,
Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Contractual Services,,1187521.92,,,
Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Supplies & Materials,,9694.27,,,
Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Current Charges & Obligations,,4031.87,,,
Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Equipment,,11692.09,,,
Equity & Inclusion Cabinet,Office of Diversity,Diversity,Personnel Services,,193721.87,,,
Equity & Inclusion Cabinet,Office of Diversity,Diversity,Contractual Services,,40655.58,,,
Equity & Inclusion Cabinet,Office of Diversity,Diversity,Current Charges & Obligations,,18695.83,,,
Equity & Inclusion Cabinet,Office of Diversity,Diversity,Equipment,,1147.0,,,
Equity & Inclusion Cabinet,Office of Resiliency & Racial Equity,MORRE,Personnel Services,,263230.42,284316.2052,,
Equity & Inclusion Cabinet,Office of Resiliency & Racial Equity,MORRE,Contractual Services,,1473716.13,842160.0,,
Equity & Inclusion Cabinet,Office of Resiliency & Racial Equity,MORRE,Supplies & Materials,,3509.73,250.0,,
Equity & Inclusion Cabinet,Office of Resiliency & Racial Equity,MORRE,Current Charges & Obligations,,,155.0,,
Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Personnel Services,,248986.69,748081.2797,1072099.189,324017.90930000006
Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Contractual Services,,463090.02,1048550.76,830000.0,-218550.76
Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Supplies & Materials,,2481.05,1936.24,13143.0,11206.76
Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Current Charges & Obligations,,,5670.0,5000.0,-670.0
Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Equipment,,2025.36,44428.0,76945.0,32517.0
Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Personnel Services,182642.1,359467.99,484545.9788,527894.7701,43348.79129999998
Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Contractual Services,11169.68,1845.86,134500.0,87300.0,-47200.0
Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Supplies & Materials,,242.9,1000.0,8000.0,7000.0
Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Current Charges & Obligations,1016.36,3198.59,11000.0,1200.0,-9800.0
Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Equipment,,5495.0,,,
Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Personnel Services,688559.37,806227.45,966445.8526,1272870.169,306424.3164
Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Contractual Services,420389.28,858347.52,2115085.0,2023217.0,-91868.0
Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Supplies & Materials,5531.54,9273.48,11500.0,11400.0,-100.0
Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Current Charges & Obligations,923.91,4486.53,16324.0,15324.0,-1000.0
Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Equipment,5760.0,13553.29,,,
Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Personnel Services,309482.14,309104.93,340272.496,495311.1058,155038.60980000003
Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Contractual Services,156871.59,432183.65,134573.0,185973.0,51400.0
Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Supplies & Materials,,1394.5,800.0,800.0,0.0
Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Current Charges & Obligations,,3024.11,140.0,,
Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Equipment,,3501.06,,,
Equity & Inclusion Cabinet,Black Male Advancement,BMA,Personnel Services,,,1054418.36,1055105.339,686.9789999998175
Equity & Inclusion Cabinet,Black Male Advancement,BMA,Contractual Services,,,726550.0,726550.0,0.0
Equity & Inclusion Cabinet,Black Male Advancement,BMA,Supplies & Materials,,,10500.0,10500.0,0.0
Equity & Inclusion Cabinet,Black Male Advancement,BMA,Current Charges & Obligations,,,2800.0,2800.0,0.0
Equity & Inclusion Cabinet,Black Male Advancement,BMA,Equipment,,,9500.0,9500.0,0.0
Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Personnel Services,179181.26,266874.1,406034.0036,306980.5806,-99053.42300000001
Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Contractual Services,7476.45,168529.03,113240.0,166240.0,53000.0
Equity & Inclusion Cabinet,Fair Housing & Equity,Human Rights History,Contractual Services,,143.43,,,
Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Supplies & Materials,3061.46,6572.16,11822.0,11822.0,0.0
Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Current Charges & Obligations,590.46,42021.83,2150.0,235.0,-1915.0
Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Equipment,1700.0,16760.0,,,
Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Personnel Services,,,220000.0,481539.1159,261539.11589999998
Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Contractual Services,,,202250.0,228250.0,26000.0
Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Supplies & Materials,,,15000.0,16000.0,1000.0
Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Current Charges & Obligations,,,2750.0,2750.0,0.0
Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Equipment,,,5000.0,4000.0,-1000.0
Equity & Inclusion Cabinet,Commission for Persons with Disabilities,Disabilities,Personnel Services,474250.56,483631.8,659932.9147,707847.1765,47914.26179999998
Equity & Inclusion Cabinet,Commission for Persons with Disabilities,Disabilities,Contractual Services,4992.95,15904.75,21150.0,63069.0,41919.0
Equity & Inclusion Cabinet,Commission for Persons with Disabilities,Disabilities,Supplies & Materials,4757.39,9232.49,7000.0,7490.0,490.0
Equity & Inclusion Cabinet,Commission for Persons with Disabilities,Disabilities,Equipment,880.0,2974.0,0.0,0.0,0.0
OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Personnel Services,0.0,482414.94,1089212.793,1216543.925,127331.13199999998
OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Contractual Services,0.0,65382.21,99460.0,84610.0,-14850.0
OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Supplies & Materials,0.0,8838.29,20000.0,13000.0,-7000.0
OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Current Charges & Obligations,0.0,43996.1,98870.83,102631.9,3761.0699999999924
OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Equipment,0.0,92311.76,6000.0,6000.0,0.0
OPAT Cabinet,Office of Police Accountability & Transparency,Civilian Review Board (CRB),Personnel Services,0.0,16225.0,49999.574,19414.28286,-30585.29114
OPAT Cabinet,Office of Police Accountability & Transparency,Internal Affairs Oversight Panel (IOAP),Personnel Services,0.0,8575.0,124999.93,10785.71715,-114214.21285
Operations Cabinet,Property Management Department,PM Administration,Personnel Services,1806599.13,1990985.16,1917832.399,2207924.662,290092.26300000004
Operations Cabinet,Property Management Department,PM Administration,Contractual Services,82966.66,116724.08,111598.0,110015.6,-1582.3999999999942
Operations Cabinet,Property Management Department,PM Administration,Supplies & Materials,15995.41,30618.58,15861.45104,74100.0,58238.54896
Operations Cabinet,Property Management Department,PM Administration,Current Charges & Obligations,85867.97,125558.95,109440.0,89415.0,-20025.0
Operations Cabinet,Property Management Department,PM Administration,Equipment,,,,0.0,
Operations Cabinet,Property Management Department,Building Operations,Personnel Services,1673553.77,2208087.82,2481388.909,4158656.045,1677267.136
Operations Cabinet,Property Management Department,Building Operations,Contractual Services,5472360.58,7006501.08,7025431.947,8908972.332,1883540.3850000007
Operations Cabinet,Property Management Department,Building Operations,Supplies & Materials,90202.93,667193.95,162625.0,180385.321,17760.320999999996
Operations Cabinet,Property Management Department,Building Operations,Current Charges & Obligations,6373.88,8873.19,41094.0,1702803.0,1661709.0
Operations Cabinet,Property Management Department,Building Operations,Equipment,45806.27,27380.36,104225.0,157708.5,53483.5
Operations Cabinet,Property Management Department,Alterations & Repair,Personnel Services,504368.91,635205.99,718836.9306,731201.0515,12364.12089999998
Operations Cabinet,Property Management Department,Alterations & Repair,Contractual Services,3861196.54,5766626.66,1436905.0,1198575.6,-238329.3999999999
Operations Cabinet,Property Management Department,Alterations & Repair,Supplies & Materials,46455.68,69636.74,69965.0,69965.0,0.0
Operations Cabinet,Property Management Department,Alterations & Repair,Equipment,570760.67,27329.6,,19793.4,
Operations Cabinet,Property Management Department,Enforcement,Personnel Services,2479753.91,2501062.92,2701620.98,2959274.056,257653.07599999988
Operations Cabinet,Property Management Department,Enforcement,Contractual Services,95733.2,99948.35,94918.0,182133.1,87215.1
Operations Cabinet,Property Management Department,Enforcement,Supplies & Materials,124976.11,75345.26,80500.95784,45055.328,-35445.62984
Operations Cabinet,Property Management Department,Enforcement,Current Charges & Obligations,8656.67,8759.98,8000.0,18000.0,10000.0
Operations Cabinet,Property Management Department,Enforcement,Equipment,37.49,27494.01,40072.36,103505.289,63432.929000000004
Operations Cabinet,Property Management Department,Security Systems,Personnel Services,667933.94,644620.46,731363.3156,817230.1289,85866.81330000004
Operations Cabinet,Property Management Department,Security Systems,Contractual Services,9448.84,4423.3,15586.0,15586.0,0.0
Operations Cabinet,Property Management Department,Security Systems,Supplies & Materials,6075.83,14248.89,20130.0,17400.0,-2730.0
Operations Cabinet,Property Management Department,Security Systems,Current Charges & Obligations,1913.81,32.4,900.0,900.0,0.0
Operations Cabinet,Property Management Department,Security Systems,Equipment,11103.65,6834.21,20636.0,41188.6,20552.6
Operations Cabinet,Property Management Department,Animal Control History,Equipment,,,,0.0,
Operations Cabinet,Property Management Department,Building Systems,Personnel Services,564902.62,611583.39,814909.1348,621244.9196,-193664.21519999998
Operations Cabinet,Property Management Department,Building Systems,Contractual Services,1101131.81,1268163.5,1605650.0,1596310.0,-9340.0
Operations Cabinet,Property Management Department,Building Systems,Supplies & Materials,33466.46,11835.91,54500.0,54500.0,0.0
Operations Cabinet,Property Management Department,Building Systems,Current Charges & Obligations,1350.0,2450.0,2500.0,2500.0,0.0
Operations Cabinet,Property Management Department,Building Systems,Equipment,970.0,2694.99,3000.0,3000.0,0.0
Operations Cabinet,Public Facilities Department,PFD Capital Construction,Personnel Services,6809366.37,7335539.27,8312994.004,9539509.435,1226515.4310000008
Operations Cabinet,Public Facilities Department,PFD Capital Construction,Contractual Services,332634.41,474416.13,470260.0,477395.0,7135.0
Operations Cabinet,Public Facilities Department,PFD Capital Construction,Supplies & Materials,9799.0,13583.69,27012.4952,21502.2,-5510.2952000000005
Operations Cabinet,Public Facilities Department,PFD Capital Construction,Current Charges & Obligations,11159.23,10238.21,21700.0,20713.0,-987.0
Operations Cabinet,Public Facilities Department,PFD Capital Construction,Equipment,,9222.91,5800.0,5800.0,0.0
Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Personnel Services,843403.71,1263528.21,996022.4843,1009666.867,13644.382699999958
Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Contractual Services,394930.13,395255.32,277750.5797,292099.4719,14348.892200000002
Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Supplies & Materials,6513.63,1788.81,1269.9625,1258.0,-11.962500000000091
Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Current Charges & Obligations,37267.52,65761.2,63018.0,60904.0,-2114.0
Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Equipment,,2453.24,2453.0,2453.0,0.0
Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Personnel Services,2205104.21,2519242.9,2924589.74,3464350.216,539760.4759999998
Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Contractual Services,221097.63,415183.58,580151.0,336850.0,-243301.0
Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Supplies & Materials,167011.62,159835.72,196376.6582,206982.0,10605.341799999995
Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Current Charges & Obligations,828721.51,917900.01,703240.0,133126.99,-570113.01
Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Equipment,31989.28,243167.18,22272.4,24278.61,2006.2099999999991
Operations Cabinet,Inspectional Services Department,Buildings & Structures,Personnel Services,7598632.5,7746582.28,8638483.784,8922375.067,283891.2829999998
Operations Cabinet,Inspectional Services Department,Buildings & Structures,Contractual Services,508606.07,560879.97,299206.0,302010.0,2804.0
Operations Cabinet,Inspectional Services Department,Buildings & Structures,Supplies & Materials,25790.18,29977.22,34459.975,24238.0,-10221.974999999999
Operations Cabinet,Inspectional Services Department,Buildings & Structures,Current Charges & Obligations,7530.0,8833.27,98326.0,6150.0,-92176.0
Operations Cabinet,Inspectional Services Department,Buildings & Structures,Equipment,17087.61,113132.81,8511.56,8358.12,-153.4399999999987
Operations Cabinet,Inspectional Services Department,Field Services,Personnel Services,6720591.59,6894352.23,7716196.731,7975343.317,259146.58600000013
Operations Cabinet,Inspectional Services Department,Field Services,Contractual Services,225893.5,235796.6,297241.0,300915.0,3674.0
Operations Cabinet,Inspectional Services Department,Field Services,Supplies & Materials,39243.59,51271.84,34450.34883,28312.984,-6137.364830000002
Operations Cabinet,Inspectional Services Department,Field Services,Current Charges & Obligations,2760.0,3765.0,5550.0,6800.0,1250.0
Operations Cabinet,Inspectional Services Department,Field Services,Equipment,17196.78,33062.15,35505.47,48339.47,12834.0
Community Engagement Cabinet,Neighborhood Services,ONS Administration,Personnel Services,640264.0,673613.21,934962.5079,740676.6007,-194285.90720000002
Community Engagement Cabinet,Neighborhood Services,ONS Administration,Contractual Services,59936.85,161962.77,46100.0,111100.0,65000.0
Community Engagement Cabinet,Neighborhood Services,ONS Administration,Supplies & Materials,2969.14,1902.84,7188.985,7285.0,96.01500000000033
Community Engagement Cabinet,Neighborhood Services,ONS Administration,Current Charges & Obligations,20027.76,24103.41,2430.48,8302.0,5871.52
Community Engagement Cabinet,Neighborhood Services,ONS Administration,Equipment,,16373.0,,,
Community Engagement Cabinet,Neighborhood Services,Neighborhood Serv,Personnel Services,1293366.34,1583781.78,1599393.165,1480239.639,-119153.52600000007
Community Engagement Cabinet,Neighborhood Services,Neighborhood Serv,Contractual Services,-825.0,102233.72,10200.0,16081.2,5881.200000000001
Community Engagement Cabinet,Neighborhood Services,Neighborhood Serv,Supplies & Materials,1046.66,,3800.0,3800.0,0.0
Community Engagement Cabinet,Neighborhood Services,Office of Civic Organizing,Personnel Services,87220.71,74400.76,74950.0046,190773.435,115823.4304
Community Engagement Cabinet,Neighborhood Services,Office of Civic Organizing,Contractual Services,20855.79,8500.68,1090.0,36792.0,35702.0
Community Engagement Cabinet,Neighborhood Services,Office of Civic Organizing,Supplies & Materials,555.9,,500.0,500.0,0.0
Community Engagement Cabinet,Neighborhood Services,Office of Civic Organizing,Equipment,3270.0,,,,
Community Engagement Cabinet,Neighborhood Services,Boston 311,Personnel Services,1465349.24,1575088.58,1967746.206,1993242.509,25496.303000000073
Community Engagement Cabinet,Neighborhood Services,Boston 311,Contractual Services,426363.49,,7000.0,13318.0,6318.0
Community Engagement Cabinet,Neighborhood Services,Boston 311,Supplies & Materials,141.6,,2700.0,2700.0,0.0
Community Engagement Cabinet,Neighborhood Services,Boston 311,Current Charges & Obligations,,,776.0,-215.0,-991.0
Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Personnel Services,1091020.73,1211535.16,1739662.058,2212299.611,472637.5530000001
Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Contractual Services,975980.06,2234496.11,2287943.031,2257041.219,-30901.811999999918
Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Supplies & Materials,2399.78,2961.39,5000.0,15000.0,10000.0
Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Current Charges & Obligations,21681.54,45006.96,45148.0,45752.0,604.0
Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Equipment,8366.24,1273.19,,0.0,
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Personnel Services,781579.59,1292740.38,1811985.679,1713687.993,-98297.68599999999
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Contractual Services,47344.41,720603.83,389419.0,335503.07,-53915.92999999999
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Supplies & Materials,1985.3,5679.62,12000.0,23500.0,11500.0
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Current Charges & Obligations,12990.21,46719.09,63409.81,83544.0,20134.190000000002
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Equipment,30007.78,6477.78,4200.0,3599.45,-600.5500000000002
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Equity & Inclusion History,Personnel Services,1206451.98,,,,
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Equity & Inclusion History,Contractual Services,1178283.7,12049.25,,,
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Equity & Inclusion History,Supplies & Materials,2000.0,,,,
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Equity & Inclusion History,Current Charges & Obligations,28000.0,4.32,,,
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Personnel Services,179370.84,160699.93,632922.0074,937314.4408,304392.4334
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Contractual Services,385609.0,1623229.05,3059100.0,3318776.05,259676.0499999998
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Supplies & Materials,299.96,5325.0,12010.0,20300.0,8290.0
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Current Charges & Obligations,,,2033.02,140300.0,138266.98
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Equipment,,1395.48,,4889.67,
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Personnel Services,569288.05,654298.54,707022.1238,731753.3273,24731.20350000006
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Contractual Services,2014.77,6184.04,4100.0,6635.0,2535.0
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Supplies & Materials,582.58,1756.17,2250.0,2250.0,0.0
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Current Charges & Obligations,3216.23,4865.4,1335.0,350.0,-985.0
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Equipment,770.0,,,,
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Personnel Services,173037.05,67367.8,64655.58211,75051.98715,10396.405039999998
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Contractual Services,,,,1052.0,
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Personnel Services,745539.33,865178.33,1008222.706,1106395.741,98173.03499999992
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Contractual Services,10250.58,39875.61,10590.0,14452.0,3862.0
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Supplies & Materials,7667.33,8561.54,12250.0,12250.0,0.0
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Current Charges & Obligations,6095.62,3333.84,5430.0,5820.0,390.0
Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Personnel Services,,,,1795023.771,
Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Contractual Services,,,,1096758.0,
Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Supplies & Materials,,,,5610.0,
Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Current Charges & Obligations,,,,0.0,
Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Equipment,,,,4800.0,
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Personnel Services,486965.5,430981.83,483280.6349,606725.5243,123444.88940000004
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Contractual Services,16768.21,1014363.09,31980.0,36480.0,4500.0
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Supplies & Materials,,2858.15,14400.0,14400.0,0.0
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Current Charges & Obligations,1.64,409.26,450.0,-46.0,-496.0
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Equipment,5371.59,,,,
